"tzero","beta","delta","k","m","w","de","E50","r","q","p","c"
-2.6962449024198,7.42599424265859e-08,3.13371424251736,0.0793568492939661,3.75458254112487,2.65784613028102e-05,1,100,10,2.38713107790612e-05,365.044257103879,15
-8.5168597571787,2.54810416289728e-07,3.16701179451221,0.0783190929163883,1.73889726228439,2.75580756051239e-05,1,100,10,2.38713107790612e-05,373.647326379382,15
-8.76783048597524,4.61268623223624e-08,3.105951462322,0.0762217184605496,3.11579245043687,2.86967331652738e-05,1,100,10,2.38713107790612e-05,490.387088415296,15
-6.14839880189794,1.99106917314407e-07,3.2117929626266,0.0775474737396793,3.75999228635053,2.83143094304696e-05,1,100,10,2.38713107790612e-05,412.021476397443,15
-11.3039602355244,4.0302845834872e-08,3.11600982098278,0.0796180016536709,2.97230096492123,2.73293705406125e-05,1,100,10,2.38713107790612e-05,335.062642303794,15
4.63748138791661,1.02773280842287e-07,3.17276180329739,0.077648131168181,2.75588273496123,2.74537223610304e-05,1,100,10,2.38713107790612e-05,377.685899417326,15
-2.23351832235341,1.04898962276084e-07,3.05693943579193,0.077781856725459,3.91758500643901,2.68952625317332e-05,1,100,10,2.38713107790612e-05,411.065414334912,15
-7.99338301505959,4.3626306660695e-08,3.06021245716405,0.0805023756941598,4.09046081173132,2.72561894387369e-05,1,100,10,2.38713107790612e-05,374.427364351895,15
-1.86987216281626,7.11683787275554e-08,3.12891971649555,0.0851851953357422,2.25674645325711,2.78579447491461e-05,1,100,10,2.38713107790612e-05,338.362447850038,15
0.612919091212132,4.84938058442019e-08,3.04017994722967,0.0796255200690393,3.95069658249206,2.75030655425371e-05,1,100,10,2.38713107790612e-05,454.812322041011,15
-15.2997649131544,1.00683484770362e-07,3.21742575615246,0.07949718360085,7.86482179820385,2.83168863499492e-05,1,100,10,2.38713107790612e-05,414.060539201932,15
-4.05597406708719,4.53932445297336e-08,3.06141106096661,0.07616719836547,3.14113157135132,2.7874622275075e-05,1,100,10,2.38713107790612e-05,396.169807563633,15
1.36639627680659,3.33420349800111e-08,3.11722005496443,0.078484171511005,3.23817492642972,2.83452923812861e-05,1,100,10,2.38713107790612e-05,361.339701848288,15
-15.8763449299644,7.70812891912398e-08,3.165655103451,0.0765036607634544,3.22477221307182,2.75949015032189e-05,1,100,10,2.38713107790612e-05,355.228004075523,15
-1.59566693425166,8.04957519335389e-08,2.98574512864953,0.0763161266311289,3.93554871120874,2.72506665600457e-05,1,100,10,2.38713107790612e-05,438.065989590644,15
-8.97301261049703,5.29958614517567e-08,3.09583761047757,0.0782457063001882,2.09870306914329,2.78480058781267e-05,1,100,10,2.38713107790612e-05,435.626299096116,15
3.74785964898498,6.22869036789924e-08,2.96734772713181,0.076834256737712,2.50367006121273,2.71592349047031e-05,1,100,10,2.38713107790612e-05,426.79652388692,15
-2.2428909655193,4.55037882867902e-08,3.09938812765498,0.0764006138583576,2.80283237456953,2.78942405299924e-05,1,100,10,2.38713107790612e-05,363.640234382043,15
-4.52593634982546,9.86104300353859e-08,3.11187994360848,0.0760677725012265,4.23578705657354,2.78402415545492e-05,1,100,10,2.38713107790612e-05,379.063613261149,15
-8.97086400327109,5.60900554897639e-08,3.16819984661879,0.0783435235363495,3.12522173313024,2.84226242801072e-05,1,100,10,2.38713107790612e-05,379.880442291818,15
6.09747504550154,4.04338390895209e-08,3.07526500391382,0.0779424434327241,1.78119189182238,2.73885762887442e-05,1,100,10,2.38713107790612e-05,444.821463117683,15
-2.85083549793803,7.56091850470725e-08,3.14000810323715,0.0823343593238104,2.4601453397666,2.79709550982254e-05,1,100,10,2.38713107790612e-05,337.397117130265,15
-2.27197899723124,4.77549811907087e-08,3.16667568552397,0.0775452714931504,2.66290703604506,2.6924225416267e-05,1,100,10,2.38713107790612e-05,374.396023759643,15
-17.0601865101668,3.88674972383434e-08,3.22876212807163,0.0787728257513596,4.19479591812391,2.76956547671114e-05,1,100,10,2.38713107790612e-05,388.351041555493,15
-8.90097127042177,4.80612314786252e-08,2.99004255198696,0.0788756709729078,6.21183513051506,2.78522618267108e-05,1,100,10,2.38713107790612e-05,361.909317640489,15
